Group,GroupWeek,Tattoo,V14,V16,V18,V20,V22,V24,N14,N16,N18,N20,N22,N24,WeekOfFirst
No UVB,No UVB (15-week),61,0,,,,,,0,,,,,,n/a
No UVB,No UVB (15-week),62,0,,,,,,0,,,,,,n/a
No UVB,No UVB (15-week),63,0,,,,,,0,,,,,,n/a
No UVB,No UVB (15-week),64,0,,,,,,0,,,,,,n/a
No UVB,No UVB (20-week),91,0,0,0,0,,,0,0,0,0,,,n/a
No UVB,No UVB (20-week),92,0,0,0,0,,,0,0,0,0,,,n/a
No UVB,No UVB (20-week),93,0,0,0,0,,,0,0,0,0,,,n/a
No UVB,No UVB (20-week),94,0,0,0,0,,,0,0,0,0,,,n/a
No UVB,No UVB (25-week),121,0,0,0,0,0,0,0,0,0,0,0,0,n/a
No UVB,No UVB (25-week),122,0,0,0,0,0,0,0,0,0,0,0,0,n/a
No UVB,No UVB (25-week),123,0,0,0,0,0,0,0,0,0,0,0,0,n/a
No UVB,No UVB (25-week),124,0,0,0,0,0,0,0,0,0,0,0,0,n/a
No UVB,No UVB (25-week),125,0,0,0,0,0,0,0,0,0,0,0,0,n/a
No UVB,No UVB (25-week),211,0,0,0,0,0,0,0,0,0,0,0,0,n/a
UVB,UVB only (15-week),65,0,,,,,,0,,,,,,n/a
UVB,UVB only (15-week),66,0,,,,,,0,,,,,,n/a
UVB,UVB only (15-week),67,0,,,,,,0,,,,,,n/a
UVB,UVB only (15-week),68,0,,,,,,0,,,,,,n/a
UVB,UVB only (15-week),69,0,,,,,,0,,,,,,n/a
UVB,UVB only (15-week),70,0,,,,,,0,,,,,,n/a
UVB,UVB only (20-week),95,0,0,0,0,,,0,0,0,0,,,n/a
UVB,UVB only (20-week),96,0,0,0,0.3076736,,,0,0,0,1,,,20
UVB,UVB only (20-week),97,0,0,0,0,,,0,0,0,0,,,n/a
UVB,UVB only (20-week),98,0,0.0530452,1.2946752,1.5043808,,,0,1,3,4,,,16
UVB,UVB only (20-week),99,0,0.0892372,0.73892,7.66501424,,,0,1,2,6,,,16
UVB,UVB only (20-week),100,0,0,0.3185,0.3185,,,0,0,1,1,,,18
UVB,UVB (25-week),131,0,0,0.6344936,1.1120616,23.43536,34.1928,0,0,1,1,6,21,18
UVB,UVB (25-week),132,0,0,0,0,1.89072,9.1624,0,0,0,0,6,6,22
UVB,UVB (25-week),133,0,0.33696,0.33696,0.3636776,2.99052,3.30408,0,1,1,1,6,6,16
UVB,UVB (25-week),134,0,0,0.4542824,0.4542824,0.45864,2.33168,0,0,1,1,3,6,18
UVB,UVB (25-week),135,0,0,0,0.32552,14.62344,15.01864,0,0,0,2,4,7,20
UVB,UVB (25-week),136,0,0,0,0,1.97392,5.76368,0,0,0,0,2,6,22
UVB,UVB (25-week),137,0,0,0,0,2.54072,8.41568,0,0,0,0,4,14,22
UVB,UVB (25-week),138,0,0.6448104,0.6448104,0.37544,1.9344,2.21832,0,1,1,1,4,6,16
UVB,UVB (25-week),139,0,0,0,0.104,2.22976,2.9744,0,0,0,2,5,7,20
UVB,UVB (25-week),140,0,0,0.35386,0.416,0.50336,0.50336,0,0,2,1,1,1,18
UVB,UVB (25-week),141,0,0,0,0,1.75344,4.40752,0,0,0,0,5,6,22
UVB,UVB (25-week),142,0,0,0.3407144,0,0.47008,155.1316,0,0,1,0,2,6,18
UVB,UVB (25-week),143,0,0,0,0,0.75088,1.78152,0,0,0,0,1,4,22
UVB,UVB (25-week),144,0,0,0.1916928,0.4499456,2.78304,13.6396,0,0,1,1,2,6,18
UVB,UVB (25-week),145,0,0,0,0,1.0088,1.94116,0,0,0,0,3,6,22
UVB,UVB (25-week),146,0,0,0,0.8870784,1.92,4.21928,0,0,0,3,12,12,20
UVB,UVB (25-week),147,0,0,0,0,0.64376,3.1360784,0,0,0,0,3,7,22
UVB,UVB (25-week),148,0,0,0,0,1.65048,25.00472,0,0,0,0,1,7,22
UVB,UVB (25-week),149,0,0,0,0,0.95784,2.4076,0,0,0,0,4,9,22
UVB,UVB (25-week),150,0,0,0,1.4906528,1.43052,6.4896,0,0,0,4,11,11,20
UVB,UVB (25-week),214,0,0,0,0,0,0.97448,0,0,0,0,0,3,24
UVB,UVB (25-week),215,0,0,0,0.39312,4.26608,29.49232,0,0,0,1,8,10,20
UVB,UVB (25-week),216,0,0,0,0.34944,2.2204,37.87368,0,0,0,1,8,8,20
UVB,UVB (25-week),217,0,0,0,1.7943016,44.02736,47.9,0,0,0,4,8,8,20
UVB,UVB (25-week),218,0,0,0,0.3045328,2.574,7.52648,0,0,0,1,3,5,20
UVB,UVB (25-week),219,0,0,0,0.5631496,3.07424,6.7912,0,0,0,2,2,6,20
UA only,UA only (15-week),71,0,,,,,,0,,,,,,n/a
UA only,UA only (15-week),72,0,,,,,,0,,,,,,n/a
UA only,UA only (15-week),73,0,,,,,,0,,,,,,n/a
UA only,UA only (15-week),74,0,,,,,,0,,,,,,n/a
UA only,UA only (20-week),101,0,0,0,0,,,0,0,0,0,,,n/a
UA only,UA only (20-week),102,0,0,0,0,,,0,0,0,0,,,n/a
UA only,UA only (20-week),103,0,0,0,0,,,0,0,0,0,,,n/a
UA only,UA only (20-week),104,0,0,0,0,,,0,0,0,0,,,n/a
UA only,UA only (25-week),151,0,0,0,0,0,0,0,0,0,0,0,0,n/a
UA only,UA only (25-week),152,0,0,0,0,0,0,0,0,0,0,0,0,n/a
UA only,UA only (25-week),153,0,0,0,0,0,0,0,0,0,0,0,0,n/a
UA only,UA only (25-week),154,0,0,0,0,0,0,0,0,0,0,0,0,n/a
UA only,UA only (25-week),155,0,0,0,0,0,0,0,0,0,0,0,0,n/a
UA only,UA only (25-week),212,0,0,0,0,0,0,0,0,0,0,0,0,n/a
UVB+UA,UVB+UA (15-week),75,0,,,,,,0,,,,,,n/a
UVB+UA,UVB+UA (15-week),76,0,,,,,,0,,,,,,n/a
UVB+UA,UVB+UA (15-week),77,0,,,,,,0,,,,,,n/a
